uncertainty_type,best_dice_dsorted_ss10 mean,best_dice_dsorted_ss10 95%
Ens,0.7045139813979895,0.028600102196727487
Ind,0.6683443171578268,0.02592832614764286
MC-Drop,0.6973157135461651,0.02693960639794964
P-Unet,0.6751534375702105,0.02261204258142679
SSN,0.7157575475797495,0.02262717995119129
SSN-Ens,0.731082908600723,0.024525592929478885
