uncertainty_type,dice mean,dice 95%,best_dice mean,best_dice 95%,avd mean,avd 95%,best_avd mean,best_avd 95%,recall mean,recall 95%,f1 mean,f1 95%
Ens,0.6677637937402534,0.020627295611715443,0.6792501113109162,0.018345917295876476,27.961404217792396,4.3099283131103165,9.78074512429386,3.8305664296313804,0.43076001161915206,0.025431883114835598,0.518802056125731,0.025093469200005165
Evid,0.6665511034381092,0.01468624542656874,,,26.894036725331386,4.9398961007976885,,,0.5020871928779239,0.05113424939147898,0.5087747387202729,0.01451387228134955
Ind,0.672369570572612,0.018445711877407803,0.6741929971247563,0.01827980872856114,27.06934467298002,4.7620220876228805,25.91565172527388,4.736608841355755,0.514987516658382,0.04297473992537724,0.5438550405190058,0.020352851344703715
MC-Drop,0.6624379111403509,0.02244424563010351,0.679564071920078,0.01946182739851788,27.97343167241228,4.9127500107066275,12.250510630450778,4.259096933825008,0.45500159507407406,0.0403444279023685,0.5143856009234894,0.025647404300207587
P-Unet,0.6741804078630604,0.014200897302745784,0.6776770460794347,0.013831405470131257,26.14634961253655,5.5609296327518365,21.254233859688597,5.154146069994322,0.5463211365925926,0.03470016114175066,0.5467686801437622,0.019405741560015923
SEnt,0.6511244215911306,0.017158221696002403,,,27.583024395779727,4.887094854865617,,,0.4602821515811404,0.0242520218656976,0.49530645966423004,0.022909420471280372
SSN,0.6763463024902534,0.013786645241822491,0.6980553928679337,0.014058054992976472,26.103199966764134,4.753835338514587,6.152329693358674,2.5803478364614514,0.535397823337232,0.039201527754214004,0.5517038937865497,0.026816424266611957
SSN-Ens,0.689549765572612,0.018768831016666435,0.7019860812889863,0.01850244620637592,25.275904983845027,4.532909573198742,4.608894660621345,1.0205562798384373,0.5152458855146199,0.02552251902690698,0.5694902093737817,0.02058927324124332
