,rater0_sample_top_dice,rater0_sample_best_avd,rater1_sample_top_dice,rater1_sample_best_avd,GED_vol_sorted,GED_dice_sorted,rater0_best_dice_dsorted_ss3,rater1_best_dice_dsorted_ss3
0,0.7591375,11.299435,0.53443223,6.974981,0.12964833,0.12918505072593695,0.7710059285163879,0.5456214547157288
1,0.7991547,3.1114328,0.7172689,1.1800802,0.08212385,0.0787380735079447,0.830095648765564,0.7369782328605652
2,0.6334208,3.0195382,0.38190955,52.9661,0.03107893,0.036785150567690494,0.7048903703689575,0.3923865258693695
3,0.7261411,4.9610205,0.5707885,5.9130435,0.16196531,0.153787116209666,0.765876054763794,0.6110615730285645
4,0.7164457,35.16104,0.7143702,0.0,0.1736954,0.1729457875092824,0.7216374278068542,0.7457627058029175
5,0.7133371,15.634838,0.62953246,40.722538,0.2012838,0.1958127915859223,0.7299644947052002,0.635865330696106
6,0.6115288,14.132379,0.48892534,9.810671,0.09448101,0.07777069012324012,0.6692307591438293,0.5299910306930542
7,0.73262423,2.3290093,0.7423106,17.900816,0.11556215,0.10952167709668476,0.7640306353569031,0.7730082273483276
8,0.7137026,6.4516125,0.6466565,36.420135,0.11743804,0.10875106851259858,0.7498575448989868,0.6540011763572693
9,0.69100624,23.427673,0.5691275,51.445663,0.2534727,0.24961437781651813,0.7237728834152222,0.5772495865821838
