,rater0_sample_top_dice,rater0_sample_best_avd,rater1_sample_top_dice,rater1_sample_best_avd,GED_vol_sorted,GED_dice_sorted,rater0_best_dice_dsorted_ss7,rater1_best_dice_dsorted_ss7
0,0.52121294,16.315638,0.5237936,15.669194,0.91930115,0.9192920894849869,0.5248339772224426,0.5275854468345642
1,0.6428912,8.292148,0.65405786,0.040136464,0.71697176,0.7169680382524218,0.645247757434845,0.6562327742576599
2,0.6629384,3.4174197,0.6935904,5.845017,0.6170609,0.617054751941136,0.66521817445755,0.6959313750267029
3,0.12404418,57.678352,0.16549295,21.011673,1.0490174,1.0490717946418693,0.12739965319633484,0.16842105984687805
4,0.041761007,462.33112,0.0465746,814.5604,1.3179163,1.3179151026443356,0.04281345382332802,0.047103412449359894
5,0.14026237,64.617485,0.1331935,62.70698,1.3937792,1.3937737512446586,0.1438775509595871,0.13694266974925995
6,0.25924453,38.263668,0.26128018,0.21141648,1.1123366,1.1122989569391524,0.26709574460983276,0.2705005407333374
7,0.5932846,31.408354,0.6257415,29.518002,0.838575,0.8385677138964334,0.5958834290504456,0.6295222043991089
8,0.5075732,29.09574,0.5265719,10.987178,0.9054709,0.905463437239329,0.5101305246353149,0.5291351079940796
9,0.23268206,38.913044,0.21445979,13.097345,0.9820326,0.981962928459758,0.23783783614635468,0.22350041568279266
10,0.67289144,0.112520464,0.67827564,20.044933,0.68351877,0.6835162866683233,0.6753939986228943,0.6805045008659363
11,0.3461818,28.785357,0.3162333,19.2604,0.9643219,0.9642845200640814,0.3511560559272766,0.3240223526954651
12,0.7041999,3.4419372,0.7049829,2.5047646,0.7027098,0.7027044977460589,0.7063884735107422,0.7073620557785034
13,0.7141703,21.614777,0.72735465,9.354723,0.65018415,0.6501821534974235,0.7158700823783875,0.7293822169303894
14,0.414305,0.13360053,0.41542092,35.44186,1.0059612,1.005951370511736,0.4193874001502991,0.4216725528240204
15,0.42650723,15.709643,0.42328042,32.506203,1.0065187,1.006488181295849,0.43326693773269653,0.43000528216362
16,0.6825538,24.308233,0.69296557,18.464005,0.72956795,0.7295652769860766,0.6842746734619141,0.6945452690124512
17,0.7449754,10.592234,0.748462,4.874782,0.60465825,0.6046537501471383,0.747093915939331,0.750713586807251
18,0.68769294,8.687093,0.69380426,5.944478,0.6792599,0.6792548525901068,0.6902860999107361,0.6965658068656921
19,0.6262415,22.760963,0.6244694,11.905601,0.7860345,0.7860278614929743,0.6279827952384949,0.6266733407974243
20,0.758896,0.39262548,0.74246955,22.212137,0.48423502,0.48422313588006155,0.7626888751983643,0.7446590662002563
21,0.68034285,19.177368,0.65516347,32.271667,0.68361205,0.6836002610978625,0.6831196546554565,0.6583094000816345
22,0.6072951,27.532679,0.58601135,27.827501,0.7242793,0.7242615350655146,0.6126726865768433,0.5911470651626587
23,0.3429752,26.279863,0.33231708,51.785713,1.0200995,1.0201315645660674,0.3463917672634125,0.3400309085845947
24,0.25680932,6.0150375,0.3018868,15.979381,1.023412,1.0234287920452299,0.2666666805744171,0.3127962052822113
25,0.47818792,99.365486,0.5053681,55.237156,0.9120607,0.9119910924207596,0.4869857132434845,0.5132133364677429
26,0.7293573,16.798847,0.7692308,6.41559,0.5155587,0.5155428165481204,0.7332744598388672,0.773000955581665
27,0.74610776,11.961401,0.7700334,5.922865,0.47714177,0.4771253722054618,0.749940037727356,0.7735572457313538
28,0.44710213,41.54519,0.45496535,13.763441,0.91957754,0.9194461802641549,0.45378151535987854,0.4680851101875305
29,0.52748847,54.61268,0.54901373,37.578693,0.86109495,0.8610910730702537,0.5302607417106628,0.5527142286300659
30,0.77477205,18.58736,0.82189125,5.8887677,0.3852714,0.38526247796558205,0.7778538465499878,0.8247495293617249
31,0.5606683,40.528336,0.5595011,16.087925,0.8258018,0.8258001279263268,0.5636079907417297,0.562478244304657
32,0.79558426,19.865005,0.81128216,5.7062564,0.40952778,0.4095240036646525,0.7971943020820618,0.8138018250465393
33,0.7256386,22.933245,0.76364976,6.035539,0.5405748,0.5405726432800293,0.7272554636001587,0.7662069797515869
34,0.6748737,24.260355,0.72823036,7.913669,0.5704522,0.5704436841465178,0.6778516173362732,0.7322982549667358
35,0.622914,41.091923,0.67982936,20.947966,0.68521684,0.6852136183352697,0.6251668930053711,0.6831600069999695
36,0.5797027,46.862007,0.67255193,21.817654,0.6396056,0.6395960237298693,0.58219975233078,0.6763015389442444
37,0.6740773,25.109896,0.68543977,13.013699,0.6152865,0.6152801456905547,0.6769930720329285,0.6889274716377258
38,0.6027723,46.130405,0.63321203,27.16787,0.7284446,0.7284415009475891,0.6038745641708374,0.6355218291282654
