,rater0_sample_top_dice,rater0_sample_best_avd,rater1_sample_top_dice,rater1_sample_best_avd,GED_vol_sorted,GED_dice_sorted,rater0_best_dice_dsorted_ss25,rater1_best_dice_dsorted_ss25
0,0.5652498,19.677275,0.5652415,3.030303,0.6690081,0.6689369529485703,0.5796584486961365,0.5819625854492188
1,0.50199926,32.664234,0.43494362,40.595654,1.0676526,1.0676436130205789,0.5176162123680115,0.4477560222148895
2,0.4635056,38.050045,0.41812915,42.018845,1.1133456,1.113289440870285,0.47643405199050903,0.42922213673591614
3,0.48018965,33.25805,0.44717917,39.275623,1.0216421,1.0214410986502966,0.49606436491012573,0.46080052852630615
4,0.8125607,27.177795,0.81462175,26.7896,0.55719554,0.557187489271164,0.8129602074623108,0.8151456117630005
5,0.5436436,59.27639,0.5327241,59.194683,1.1341358,1.13411401172479,0.543820858001709,0.532841682434082
6,0.5561833,57.718998,0.53288335,59.457146,1.1139272,1.1139074391126633,0.5572929382324219,0.5338656902313232
7,0.57074773,54.446445,0.5258249,59.370167,1.0723327,1.0723007613420488,0.5721250176429749,0.5266498923301697
8,0.5673713,55.603798,0.53925186,58.78852,1.098505,1.098482081691424,0.5678315162658691,0.5396713614463806
9,0.5082978,60.82292,0.4697641,64.5034,1.1806391,1.1806292174259823,0.5100145936012268,0.47122102975845337
10,0.5741525,52.70922,0.53396,55.6472,0.9555183,0.9554987090826036,0.576733410358429,0.5353208184242249
11,0.6478755,38.10659,0.5551197,58.954384,0.77518594,0.7751177388429643,0.6499102115631104,0.5561522841453552
12,0.36383185,66.46088,0.27744338,71.27045,1.092152,1.0920316567023596,0.364854633808136,0.2786948084831238
13,0.69484615,37.517883,0.6899792,41.84074,0.8363305,0.8363074276844661,0.69601970911026,0.6910511255264282
14,0.24155484,35.289635,0.22751606,70.59231,1.0741571,1.0740962302684784,0.2600896954536438,0.23205022513866425
15,0.788195,29.21444,0.77887386,32.399178,0.61932343,0.6193136245012283,0.7886893153190613,0.779259443283081
16,0.048523206,0.0,0.110535406,70.64373,1.0161133,1.0160285515338183,0.05423728749155998,0.1141573041677475
17,0.62209845,42.738403,0.5650458,38.806866,0.8215362,0.8215136100848516,0.6253772377967834,0.5683027505874634
18,0.69879204,36.179893,0.60184836,51.64368,0.74359435,0.7435803681612014,0.700440526008606,0.602141261100769
19,0.3298969,23.589165,0.32334736,49.571697,1.0971351,1.0971129820744197,0.3392975628376007,0.32779455184936523
20,0.6916177,34.454666,0.6751243,42.58748,0.74391013,0.7438839679956436,0.692280113697052,0.6755926012992859
21,0.21148036,10.561798,0.1454334,15.409139,1.2031717,1.2029983882109325,0.2246192842721939,0.1549815535545349
22,0.45778465,19.314205,0.4515735,45.61321,0.96831113,0.9682021981477736,0.4766128957271576,0.4615384638309479
23,0.086690016,80.10499,0.07316036,91.23294,1.1615146,1.1612327429652214,0.08922938257455826,0.07342582941055298
