,rmses,IR_rmses,rater0_sample_top_dice,rater0_sample_best_avd,rater1_sample_top_dice,rater1_sample_best_avd,GED_vol_sorted,GED_dice_sorted,rater0_best_dice_dsorted_ss5,rater1_best_dice_dsorted_ss5
0,0.33973634243011475,0.39853352308273315,0.7257435,20.877052,0.47893888,4.0181956,0.2671863,0.2658322691917419,0.7476635575294495,0.5079002380371094
1,0.31875336170196533,0.3794802129268646,0.7678337,20.712734,0.6984471,3.4458344,0.225016,0.2243021786212921,0.783962070941925,0.7224195003509521
2,0.32790228724479675,0.35581833124160767,0.577816,6.5719357,0.3148148,74.57627,0.17108409,0.16682051867246628,0.6504064798355103,0.39669421315193176
3,0.35579702258110046,0.40330156683921814,0.609322,2.4805102,0.4888042,4.4347825,0.31204218,0.30662060379982,0.6641318202018738,0.5502645373344421
4,0.3379524052143097,0.4064265489578247,0.6670727,42.618866,0.69835293,11.50207,0.29076317,0.2898265838623046,0.6782092452049255,0.7258648872375488
5,0.3604698181152344,0.4307664632797241,0.6554553,29.450857,0.5494578,50.430084,0.38001576,0.37732524275779733,0.6847802996635437,0.5636792182922363
6,0.3178628981113434,0.3999038636684418,0.6076923,13.774597,0.43879473,9.466437,0.2084248,0.20155996680259702,0.6595744490623474,0.5029239654541016
7,0.36782586574554443,0.375000923871994,0.65547645,26.120285,0.69394493,14.877717,0.35791636,0.353561007976532,0.6906372308731079,0.7383834719657898
8,0.35080334544181824,0.4141826629638672,0.6814059,7.648283,0.56759465,44.841515,0.22272086,0.2192828953266145,0.7337624430656433,0.5865384340286255
9,0.34147295355796814,0.4070609211921692,0.6832962,23.50629,0.5673045,51.495518,0.29201514,0.29012677669525155,0.7106976509094238,0.5795415639877319
