,rater0_sample_top_dice,rater0_sample_best_avd,rater1_sample_top_dice,rater1_sample_best_avd,GED_vol_sorted,GED_dice_sorted,rater0_best_dice_dsorted_ss3,rater1_best_dice_dsorted_ss3
0,0.5918639,3.1376064,0.61989343,16.93723,0.30082622,0.29659960667292284,0.6452540755271912,0.6510878205299377
1,0.55864197,2.919708,0.4873226,9.203112,0.672457,0.6640578210353851,0.6074318885803223,0.5258288383483887
2,0.5815225,5.4357204,0.5146366,11.493943,0.6490061,0.6336159706115723,0.625343918800354,0.5483971238136292
3,0.59069914,16.657255,0.51891893,24.171589,0.61480856,0.6115957299868264,0.59889155626297,0.5283528566360474
4,0.8225453,24.71053,0.8268987,24.309181,0.47349748,0.47334474325180054,0.8231296539306641,0.8274217247962952
5,0.7112971,33.32873,0.70236415,33.19496,0.6724515,0.6692399283250172,0.7148822546005249,0.7048975229263306
6,0.7117829,20.0,0.6923163,23.288754,0.59790415,0.5821934044361115,0.7395702004432678,0.7144142985343933
7,0.7017812,27.476416,0.66353595,35.315228,0.6432017,0.6359626551469169,0.7200836539268494,0.6695658564567566
8,0.7349159,24.432274,0.699632,29.853062,0.5953924,0.5923017660776775,0.7429933547973633,0.7066789269447327
9,0.7391049,27.969202,0.69466835,34.736122,0.57534504,0.5732327302296956,0.7506914734840393,0.7030767202377319
10,0.6355353,25.64539,0.59942,30.264732,0.6441114,0.6389240622520447,0.6633561849594116,0.6172980666160583
11,0.6342777,41.937683,0.5206261,61.49503,0.70276546,0.7026302019755045,0.6361377835273743,0.5210796594619751
12,0.2921822,43.3453,0.33435455,51.469685,0.674642,0.6594103922446569,0.3038650453090668,0.34695637226104736
13,0.7502877,10.219143,0.7553078,16.430674,0.5247482,0.5158092578252157,0.7761956453323364,0.767915666103363
14,0.23345527,21.875,0.29469872,10.39141,0.57981974,0.5615609437227248,0.30560389161109924,0.3076322376728058
15,0.7823086,30.599388,0.758207,33.721813,0.5637269,0.5630445381005605,0.785403847694397,0.760572612285614
16,0.06474359,221.21213,0.21565577,11.764706,0.5651026,0.5636029516657193,0.07954110950231552,0.23561537265777588
17,0.6618544,19.499046,0.5954317,13.971912,0.5142708,0.5101377566655478,0.6949141025543213,0.6032949686050415
18,0.70929724,31.206348,0.6126601,47.87524,0.6024183,0.6010855734348297,0.7111726999282837,0.6132742166519165
19,0.2749925,12.020316,0.2851084,12.811918,0.78567135,0.7789276838302612,0.29295608401298523,0.30645161867141724
20,0.73951584,18.416557,0.74708825,28.539366,0.5054649,0.5041985313097637,0.7439655661582947,0.7501769065856934
21,0.20678337,5.3932586,0.20404355,0.31880978,0.7871822,0.7784880672891934,0.22579315304756165,0.2118140459060669
22,0.39355993,4.408677,0.37005162,35.566036,0.6390636,0.5949362615744272,0.4952723979949951,0.37068966031074524
23,0.079490446,6.0367455,0.23079759,11.774231,0.5880702,0.5749960169196129,0.1062755435705185,0.23714213073253632
24,0.35481587,27.278286,0.29008567,42.809044,0.8090497,0.8034024983644485,0.3692307770252228,0.2950819730758667
25,0.33598658,33.310055,0.32265192,45.738636,0.8203236,0.8179282223184905,0.3427577316761017,0.3288922607898712
26,0.22548121,43.919884,0.18181819,74.79099,0.6353363,0.636016383767128,0.24448898434638977,0.18923157453536987
27,0.53148556,12.704918,0.44509625,45.816845,0.58009046,0.5626375873883565,0.5820568799972534,0.4689309000968933
28,0.6949002,14.063877,0.5617841,9.362295,0.53403455,0.5307012995084126,0.7158264517784119,0.5671604871749878
29,0.42903575,12.591171,0.4142922,20.729729,0.6568731,0.6537413994471231,0.4884735345840454,0.42962267994880676
30,0.7011626,37.606407,0.6882903,41.273994,0.6438484,0.6433587968349458,0.7039024829864502,0.6908106207847595
31,0.23656543,22.86601,0.33843437,21.81437,0.57928354,0.572075255215168,0.25456878542900085,0.34690800309181213
32,0.57855624,17.853691,0.22807017,8.329792,0.39787248,0.3759441922108333,0.6280023455619812,0.2398444265127182
33,0.44084218,22.578512,0.4126394,22.90981,0.5155852,0.5170650879542034,0.47785401344299316,0.43761157989501953
34,0.77927697,22.204185,0.7354034,34.051987,0.51084304,0.5072751641273499,0.7881916761398315,0.736812949180603
35,0.55079216,16.141731,0.44444445,31.776556,0.48800248,0.4826654493808746,0.585814356803894,0.45624271035194397
36,0.39250192,6.7997046,0.3605302,40.909092,0.6057457,0.5936081906159718,0.4766490161418915,0.3911917209625244
37,0.592147,36.551067,0.61539495,32.67138,0.53924006,0.5299908419450126,0.6038200855255127,0.6252715587615967
38,0.47669256,48.66681,0.4766754,49.2949,0.8264973,0.8224130471547446,0.4851051867008209,0.4775954782962799
39,0.53879577,10.58201,0.5028104,6.310071,0.6038357,0.5975020527839661,0.5522706508636475,0.5440832376480103
40,0.24208567,23.962263,0.25579938,23.366556,0.80385274,0.7960188339153926,0.2824096381664276,0.2840277850627899
41,0.40532902,15.904867,0.37326953,36.92865,0.6495421,0.643569846947988,0.4327617287635803,0.39152297377586365
42,0.7684063,19.604082,0.76294327,18.24282,0.5095878,0.5051576991875967,0.777001678943634,0.7710990309715271
43,0.19679055,8.818342,0.20177603,21.049265,0.8067501,0.7800020029147465,0.24614167213439941,0.2436375916004181
44,0.2891859,3.6016948,0.13169985,114.02439,0.446828,0.4421905142565568,0.3292817771434784,0.18287372589111328
45,0.6504747,12.618949,0.5727377,21.472393,0.6209222,0.6071677505970001,0.6846208572387695,0.5891761779785156
46,0.3286836,46.867706,0.38902047,29.807919,0.6621165,0.6612258702516557,0.3302578628063202,0.39188045263290405
47,0.3207127,9.185442,0.22693409,18.018017,0.5610132,0.5471511582533518,0.3356926143169403,0.2401352822780609
48,0.5594102,4.893304,0.5682931,22.558418,0.69809717,0.6873687605063121,0.5820895433425903,0.6128910779953003
49,0.47796917,36.83432,0.45513338,59.61793,0.7374027,0.7242256303628287,0.49721208214759827,0.46381986141204834
50,0.69326717,34.614967,0.6799634,41.456337,0.70541227,0.7053503294785817,0.694037675857544,0.6808770298957825
51,0.49938282,14.187418,0.5004393,14.746094,0.9699269,0.9547172784805298,0.5475015044212341,0.5484949946403503
52,0.25989446,10.14402,0.25989446,10.14402,1.175845,1.1566858341296515,0.36763709783554077,0.36763709783554077
53,0.8168473,24.358137,0.80123913,30.431738,0.5044533,0.5044293304284413,0.8168979287147522,0.8012863993644714
54,0.7547712,19.610664,0.74219394,24.402561,0.56769663,0.5595463116963705,0.7802700400352478,0.752997100353241
55,0.68825454,25.23022,0.6717819,33.73217,0.6775511,0.6740173896153769,0.71014803647995,0.6784009337425232
56,0.7196405,36.911537,0.6906856,42.363132,0.7032111,0.7022568782170613,0.723334014415741,0.6938222050666809
57,0.5721703,14.219213,0.55692387,18.594378,0.8347239,0.8260982731978099,0.6195372939109802,0.600691020488739
58,0.22580644,0.2793296,0.20273632,19.325842,1.0278925,1.0229030673702557,0.26101988554000854,0.24514199793338776
59,0.43926358,10.247603,0.774105,12.306852,0.18936445,0.1792522023121515,0.4558487832546234,0.8011573553085327
60,0.07240581,0.9003939,0.45429665,6.9730587,0.30164266,0.29388855894406635,0.09555555880069733,0.5249152183532715
61,0.33984375,0.260078,0.3731947,20.435684,0.7858182,0.7947512442866961,0.39087018370628357,0.4045976996421814
62,0.046938777,12.528065,0.56643045,11.229189,0.24747089,0.23926282984515024,0.05574193596839905,0.6101980805397034
63,0.024873689,44.53172,0.45722607,49.80864,0.39116326,0.3946409982939561,0.028343666344881058,0.4771929681301117
64,0.43612078,9.090909,0.44310528,6.4460926,0.9022392,0.898678903778394,0.47146233916282654,0.49466949701309204
