,rmses,IR_rmses,rater0_sample_top_dice,rater0_sample_best_avd,rater1_sample_top_dice,rater1_sample_best_avd,GED_vol_sorted,GED_dice_sorted,rater0_best_dice_dsorted_ss7,rater1_best_dice_dsorted_ss7,mean_gt_vols
0,0.33374837040901184,0.38851413130760193,0.7682482,23.083132,0.5245483,6.2926455,0.38186818,0.38185860713322956,0.7717639803886414,0.5281638503074646,3177.5
1,0.2946653664112091,0.35825276374816895,0.8251858,14.978292,0.72544366,8.803399,0.26796696,0.2679622485524132,0.8286414742469788,0.7287677526473999,4882.5
2,0.3407239019870758,0.3629182279109955,0.52497345,30.90586,0.35947713,54.66102,0.5974573,0.5974662325211932,0.5331905484199524,0.3696369528770447,399.5
3,0.34311848878860474,0.375228613615036,0.71934825,26.009924,0.5974265,9.217391,0.46972394,0.46971746285756427,0.7223587036132812,0.6012891530990601,1280.5
4,0.3711255192756653,0.4007568955421448,0.5863454,56.78681,0.6490419,33.353046,0.6031688,0.6031621680373238,0.5865024328231812,0.6521739363670349,4299.0
5,0.34164997935295105,0.41807129979133606,0.7029046,31.409582,0.55456054,51.806343,0.54179883,0.5417888916674115,0.7048054933547974,0.5554448962211609,3464.0
6,0.3226722776889801,0.42550405859947205,0.53382534,53.846157,0.36646706,55.593807,0.72351766,0.7233880446070716,0.5407407283782959,0.3724304735660553,570.0
7,0.3247113823890686,0.33851397037506104,0.74824476,23.643867,0.7655711,12.024456,0.40610343,0.4060986609685989,0.7505866289138794,0.7691469788551331,3168.0
8,0.3364969789981842,0.4176323115825653,0.7107993,29.448492,0.54088324,57.862026,0.5002762,0.5002422190847852,0.7146356105804443,0.5421133041381836,2570.0
9,0.42347851395606995,0.43143829703330994,0.51525056,55.660378,0.39143968,71.884346,0.8208368,0.8208187421162924,0.5203073620796204,0.39328911900520325,1639.0
