,rmses,IR_rmses,rater0_sample_top_dice,rater0_sample_best_avd,rater1_sample_top_dice,rater1_sample_best_avd,GED_vol_sorted,GED_dice_sorted,rater0_best_dice_dsorted_ss3,rater1_best_dice_dsorted_ss3,mean_gt_vols
0,0.3294842541217804,0.39165937900543213,0.7672131,5.676621,0.51516175,0.8718726,0.1293781,0.12747461597124737,0.7966148853302002,0.5373548269271851,3177.5
1,0.30214452743530273,0.37158289551734924,0.8094463,0.0723589,0.70375556,2.3601604,0.088232316,0.08693526188532513,0.8253614902496338,0.7293787002563477,4882.5
2,0.34512394666671753,0.34619075059890747,0.65543646,23.445826,0.3658171,82.62712,0.07414081,0.08711432913939154,0.6907137632369995,0.4054054021835327,399.5
3,0.34008118510246277,0.38002070784568787,0.7193821,7.2997875,0.5753685,13.73913,0.11946509,0.11859734853108733,0.7678507566452026,0.6212694644927979,1280.5
4,0.3281041383743286,0.40069127082824707,0.7415259,26.361197,0.6880798,9.22531,0.15052278,0.1487716138362884,0.7456795573234558,0.727245032787323,4299.0
5,0.34301698207855225,0.41693514585494995,0.700019,13.151452,0.6385542,20.496437,0.15782796,0.14915907382965088,0.7319164872169495,0.6687642931938171,3464.0
6,0.32863354682922363,0.40419167280197144,0.60365856,23.971376,0.4831014,26.85026,0.055430386,0.038661345839500316,0.6715635061264038,0.5127201676368713,570.0
7,0.32400184869766235,0.36348941922187805,0.7664323,7.1344337,0.76206106,6.997283,0.13130535,0.12888644138971966,0.7799906134605408,0.7868071794509888,3168.0
8,0.3332553803920746,0.42075496912002563,0.713779,9.053069,0.60745203,34.86638,0.10499343,0.0991264283657074,0.752424418926239,0.620783269405365,2570.0
9,0.3368852138519287,0.4317358136177063,0.72314554,6.053459,0.60731024,40.428715,0.16616781,0.1588468253612519,0.7495606541633606,0.6138301491737366,1639.0
