Uncertainty Type,soft_dUIRO_d0.50,,soft_dUIRO_d1.00,,soft_dUIRO_d1.50,,soft_dUIRO_d2.00,,soft_dUIRO_d2.50,,soft_dUIRO_d3.00,,soft_dUIRO_d3.50,,soft_dUIRO_d4.00,,soft_dUIRO_d4.50,,soft_dUIRO_d5.00,
Ens,0.24,0.01,0.24,0.01,0.26,0.01,0.26,0.01,0.24,0.00,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00
Ind,0.26,0.01,0.26,0.01,0.28,0.01,0.28,0.01,0.26,0.01,0.26,0.01,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01
MC-Drop,0.23,0.01,0.23,0.01,0.26,0.01,0.26,0.01,0.24,0.01,0.24,0.01,0.23,0.01,0.23,0.01,0.24,0.01,0.24,0.01
P-Unet,0.26,0.02,0.26,0.02,0.29,0.01,0.29,0.01,0.27,0.01,0.26,0.01,0.26,0.01,0.26,0.01,0.26,0.01,0.26,0.01
SSN,0.25,0.01,0.25,0.01,0.28,0.01,0.28,0.01,0.26,0.01,0.26,0.01,0.26,0.01,0.26,0.01,0.26,0.01,0.26,0.01
SSN-Ens,0.26,0.00,0.26,0.00,0.28,0.00,0.28,0.00,0.26,0.00,0.26,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00
