,rmses,IR_rmses,rater0_sample_top_dice,rater0_sample_best_avd,rater1_sample_top_dice,rater1_sample_best_avd,GED_vol_sorted,GED_dice_sorted,rater0_best_dice_dsorted_ss15,rater1_best_dice_dsorted_ss15
0,0.33973634243011475,0.39853352308273315,0.73716277,14.527845,0.48886395,0.7581501,0.26008466,0.258454075171834,0.7670121788978577,0.5341373085975647
1,0.31875336170196533,0.3794802129268646,0.781893,13.83864,0.70244956,0.4484305,0.2171684,0.21622651559965947,0.8035423159599304,0.7384465336799622
2,0.32790228724479675,0.35581833124160767,0.6045662,0.1776199,0.3580786,53.389828,0.16380106,0.16049963654506783,0.7061900496482849,0.4265129566192627
3,0.35579702258110046,0.40330156683921814,0.6116208,7.866761,0.49830672,4.4347825,0.33430073,0.32529387445676894,0.704884946346283,0.5847665667533875
4,0.3379524052143097,0.4064265489578247,0.69730365,36.464725,0.70638704,2.0106447,0.27945137,0.278399141629537,0.7124925255775452,0.7445184588432312
5,0.3604698181152344,0.4307664632797241,0.67388535,20.916405,0.57567143,44.43352,0.37458867,0.3716500719388327,0.7163323760032654,0.5987985134124756
6,0.3178628981113434,0.3999038636684418,0.6199616,0.53667265,0.44548872,3.2702236,0.22459929,0.2154157008443559,0.6955664753913879,0.5261002779006958
7,0.36782586574554443,0.375000923871994,0.7007552,12.617925,0.74736077,0.6793478,0.3365507,0.3311984592959995,0.7500416040420532,0.7919854521751404
8,0.35080334544181824,0.4141826629638672,0.69808704,1.3527576,0.57997656,41.081417,0.2493778,0.2450521186703728,0.756694495677948,0.607150137424469
9,0.34147295355796814,0.4070609211921692,0.67775834,13.522013,0.5990722,45.16451,0.3051833,0.3021185006414141,0.7286964654922485,0.6170142292976379
