,rmses,IR_rmses,rater0_sample_top_dice,rater0_sample_best_avd,rater1_sample_top_dice,rater1_sample_best_avd,GED_vol_sorted,GED_dice_sorted,rater0_best_dice_dsorted_ss5,rater1_best_dice_dsorted_ss5,mean_gt_vols
0,0.33420178294181824,0.3972427546977997,0.5300338,1.2509477,0.76968974,13.236481,0.11182842,0.1084294378757476,0.5523310303688049,0.7912994027137756,3177.5
1,0.29974251985549927,0.3756134510040283,0.70376503,0.8496578,0.8024739,9.370478,0.09035008,0.08475321531295782,0.7314040064811707,0.8371347784996033,4882.5
2,0.34040725231170654,0.3475561738014221,0.39530334,12.711864,0.6362039,2.1314387,0.01601161,-0.00261546075344099,0.4896421730518341,0.7069271802902222,399.5
3,0.34455612301826477,0.3816736936569214,0.5978793,6.6086955,0.7548839,7.7250175,0.13496093,0.12660690248012552,0.6444538235664368,0.7791545391082764,1280.5
4,0.31864506006240845,0.4069594740867615,0.6955418,10.674157,0.73892176,28.24003,0.18696108,0.180509802699089,0.7332692742347717,0.7462348341941833,4299.0
5,0.3434194028377533,0.42139679193496704,0.6401655,33.693783,0.734569,5.6313396,0.21190281,0.21091672182083138,0.6451997756958008,0.7514362335205078,3464.0
6,0.32543402910232544,0.41148680448532104,0.40376568,35.45611,0.58458245,32.91592,0.17182037,0.14277299940586097,0.48856547474861145,0.6528599858283997,570.0
7,0.3176043927669525,0.3684350550174713,0.7842454,5.0951085,0.7655997,3.125,0.14241551,0.13317084014415737,0.8051668405532837,0.791312575340271,3168.0
8,0.33393096923828125,0.4253884553909302,0.63001317,34.959602,0.7216553,8.896982,0.15739542,0.15008054375648489,0.6395958662033081,0.7543810606002808,2570.0
9,0.3148795962333679,0.43273165822029114,0.60413355,43.220337,0.7290323,10.455975,0.22006136,0.21802313029766085,0.614387571811676,0.7453874349594116,1639.0
