,rater0_sample_top_dice,rater0_sample_best_avd,rater1_sample_top_dice,rater1_sample_best_avd,GED_vol_sorted,GED_dice_sorted,rater0_best_dice_dsorted_ss3,rater1_best_dice_dsorted_ss3
0,0.63912934,18.780815,0.69344264,1.9480519,0.10287439,0.09257457653681445,0.6883628964424133,0.7488230466842651
1,0.60557055,3.1021898,0.5590208,9.042125,0.42375854,0.40816636880238855,0.7097000479698181,0.6209573149681091
2,0.554923,9.289618,0.5005988,2.2880216,0.46075717,0.4452588756879171,0.6667814254760742,0.5776959657669067
3,0.5974297,3.0208921,0.54444265,6.26766,0.42568213,0.4179868400096892,0.6029032468795776,0.5541008114814758
4,0.8283611,18.455795,0.8325213,18.021105,0.37586173,0.3747420112291972,0.8337633013725281,0.8378702998161316
5,0.7111672,30.463303,0.7097248,30.323786,0.5384797,0.5335914194583893,0.7255973219871521,0.7170731425285339
6,0.6939292,26.279629,0.6742059,29.310232,0.5882828,0.5748359858989716,0.7189972400665283,0.6941907405853271
7,0.7230462,19.464483,0.6854859,28.169273,0.497931,0.4861416021982828,0.7583733797073364,0.7069998979568481
8,0.7379238,15.408763,0.7072307,21.476843,0.4731666,0.46574421723683673,0.764041543006897,0.7210425138473511
9,0.7247891,21.210402,0.68686193,28.61227,0.52555966,0.5162610212961833,0.7483402490615845,0.7080380320549011
10,0.66004676,5.7304964,0.63277555,11.5870695,0.4281058,0.41035944223403925,0.7218106985092163,0.6608368158340454
11,0.66386783,13.4343605,0.6421808,42.592594,0.35731617,0.3495134313901266,0.6969965696334839,0.653210461139679
12,0.43658724,31.888012,0.3940971,41.65539,0.47057128,0.45566697418689717,0.4661625623703003,0.4071422815322876
13,0.76265734,15.11409,0.7710862,20.986961,0.4670093,0.46307186285654706,0.7754542231559753,0.7793625593185425
14,0.3126873,3.8109758,0.29931518,7.377901,0.3744033,0.3542121921976408,0.35721704363822937,0.33152568340301514
